mesh3	保全優先度全国ランク_全分類群	保全優先度全国ランク_植物	保全優先度全国ランク_哺乳類	保全優先度全国ランク_鳥類	保全優先度全国ランク_爬虫類	保全優先度全国ランク_両生類	保全優先度全国ランク_淡水魚類	保全優先度県内ランク_全分類群	保全優先度全国ランク_セミ類	保全優先度全国ランク_チョウ類	保全優先度全国ランク_トンボ類	種数_植物	種数_哺乳類	種数_鳥類	種数_爬虫類	種数_両生類	種数_淡水魚類	種数_セミ類	種数_チョウ類	種数_トンボ類	種数ランク_植物	種数ランク_哺乳類	種数ランク_鳥類	種数ランク_爬虫類	種数ランク_両生類	種数ランク_淡水魚類	種数ランク_セミ類	種数ランク_チョウ類	種数ランク_トンボ類
52365702	0.889	0.788	0.867	0.932	0.899	0.868	0.906	0.797	0.758	0.243	0.935	721	10	122	7	5	33	5	31	48	0.7746	0.3667	0.9618	0.7878	0.5899	0.921	0.7748	0.5339	0.875
52365703	0.877	0.844	0.866	0.91	0.868	0.902	0.882	0.578	0.633	0.172	0.825	630	8	98	6	5	28	5	30	35	0.7111	0.2216	0.921	0.7564	0.5899	0.8841	0.7748	0.5219	0.8011
52365704	0.888	0.877	0.877	0.893	0.877	0.896	0.897	0.624	0.767	0.304	0.895	704	8	95	7	5	32	5	36	44	0.7636	0.2216	0.9137	0.7878	0.5899	0.9143	0.7748	0.591	0.8537
52365705	0.918	0.908	0.817	0.898	0.887	0.84	0.944	0.803	0.862	0.46	0.936	841	7	100	8	5	44	7	45	53	0.8423	0.1602	0.9256	0.8182	0.5899	0.9707	0.8903	0.6845	0.899
52365706	0.898	0.913	0.699	0.893	0.895	0.794	0.936	0.844	0.906	0.66	0.983	934	8	107	9	7	44	8	57	64	0.8838	0.2216	0.94	0.8479	0.7463	0.9707	0.9401	0.7932	0.947
52365707	0.826	0.902	0.637	0.826	0.865	0.75	0.893	0.469	0.838	0.493	0.944	910	7	81	8	7	31	8	52	54	0.8741	0.1602	0.8736	0.8182	0.7463	0.9075	0.9401	0.7503	0.9036
52365708	0.81	0.859	0.603	0.809	0.862	0.804	0.882	0.44	0.874	0.54	0.912	903	6	83	6	8	31	8	53	58	0.8712	0.1111	0.8799	0.7564	0.8101	0.9075	0.9401	0.7589	0.9217
52365709	0.837	0.819	0.635	0.82	0.88	0.936	0.885	0.568	0.841	0.555	0.938	915	7	86	8	8	38	7	57	61	0.8762	0.1602	0.8892	0.8182	0.8101	0.9478	0.8903	0.7932	0.9346
52365710	0.911	0.69	0.607	0.945	0.872	0.784	0.954	0.831	0.681	0.24	0.869	666	9	125	7	5	43	5	26	40	0.7379	0.2906	0.9651	0.7878	0.5899	0.9675	0.7748	0.4719	0.8311
52365711	0.896	0.637	0.664	0.954	0.869	0.795	0.933	0.786	0.663	0.231	0.909	629	8	131	5	2	39	5	29	40	0.7103	0.2216	0.9713	0.7201	0.2845	0.9522	0.7748	0.5096	0.8311
52365712	0.861	0.682	0.788	0.928	0.87	0.832	0.899	0.558	0.712	0.143	0.96	560	8	113	5	4	34	5	27	47	0.655	0.2216	0.9497	0.7201	0.5038	0.9272	0.7748	0.4848	0.8698
52365713	0.861	0.811	0.842	0.903	0.876	0.822	0.896	0.591	0.747	0.161	0.953	624	9	97	7	4	34	5	29	49	0.7066	0.2906	0.9188	0.7878	0.5038	0.9272	0.7748	0.5096	0.88
52365714	0.895	0.918	0.875	0.87	0.903	0.833	0.917	0.693	0.829	0.324	0.918	833	10	81	9	6	34	7	40	46	0.8384	0.3667	0.8736	0.8479	0.6718	0.9272	0.8903	0.6336	0.8646
52365715	0.938	0.867	0.902	0.933	0.91	0.744	0.954	0.935	0.88	0.533	0.966	922	11	121	10	5	49	6	48	58	0.8792	0.4453	0.9606	0.8785	0.5899	0.9841	0.8358	0.7139	0.9217
52365716	0.881	0.908	0.681	0.845	0.894	0.87	0.92	0.76	0.871	0.612	0.945	873	7	91	9	7	38	8	56	57	0.8577	0.1602	0.9032	0.8479	0.7463	0.9478	0.9401	0.7849	0.9172
52365717	0.823	0.916	0.609	0.819	0.872	0.732	0.891	0.46	0.836	0.484	0.942	911	6	75	8	7	31	8	50	49	0.8745	0.1111	0.8532	0.8182	0.7463	0.9075	0.9401	0.7321	0.88
52365718	0.782	0.88	0.575	0.794	0.849	0.754	0.861	0.318	0.857	0.445	0.953	867	5	73	7	7	25	8	46	54	0.8548	0.0721	0.8462	0.7878	0.7463	0.8559	0.9401	0.6944	0.9036
52365719	0.85	0.882	0.766	0.806	0.887	0.945	0.881	0.656	0.916	0.556	0.983	1002	6	85	9	8	33	8	58	69	0.9088	0.1111	0.8862	0.8479	0.8101	0.921	0.9401	0.8013	0.9663
52365720	0.919	0.72	0.573	0.937	0.843	0.497	0.969	0.802	0.668	0.181	0.945	643	7	118	7	5	48	5	26	52	0.721	0.1602	0.9568	0.7878	0.5899	0.9818	0.7748	0.4719	0.8945
52365721	0.922	0.727	0.7	0.939	0.881	0.648	0.965	0.848	0.725	0.239	0.94	698	10	122	7	4	46	5	33	45	0.7599	0.3667	0.9618	0.7878	0.5038	0.9766	0.7748	0.5571	0.8591
52365722	0.871	0.801	0.84	0.918	0.861	0.675	0.917	0.54	0.633	0.135	0.883	552	9	105	6	5	30	5	24	44	0.6485	0.2906	0.9364	0.7564	0.5899	0.9002	0.7748	0.4451	0.8537
52365723	0.884	0.853	0.87	0.906	0.886	0.755	0.918	0.676	0.768	0.169	0.915	663	11	93	7	5	29	5	30	46	0.7357	0.4453	0.9085	0.7878	0.5899	0.8925	0.7748	0.5219	0.8646
52365724	0.883	0.897	0.863	0.851	0.905	0.865	0.903	0.702	0.877	0.411	0.953	799	10	77	8	6	28	8	43	52	0.8202	0.3667	0.8602	0.8182	0.6718	0.8841	0.9401	0.6642	0.8945
52365725	0.932	0.877	0.858	0.914	0.909	0.824	0.951	0.921	0.888	0.538	0.962	929	12	107	10	6	46	8	50	61	0.8819	0.5208	0.94	0.8785	0.6718	0.9766	0.9401	0.7321	0.9346
52365726	0.881	0.875	0.785	0.843	0.911	0.857	0.917	0.767	0.891	0.609	0.947	928	9	92	9	7	40	7	58	63	0.8815	0.2906	0.9058	0.8479	0.7463	0.9565	0.8903	0.8013	0.9429
52365727	0.793	0.787	0.65	0.837	0.872	0.876	0.855	0.552	0.91	0.761	0.996	888	10	94	9	7	27	7	70	77	0.8645	0.3667	0.9111	0.8479	0.7463	0.8754	0.8903	0.8883	0.9899
52365728	0.811	0.869	0.564	0.805	0.86	0.792	0.887	0.472	0.891	0.525	0.971	901	7	82	6	8	28	8	55	62	0.8703	0.1602	0.8767	0.7564	0.8101	0.8841	0.9401	0.7763	0.9388
52365729	0.806	0.886	0.645	0.78	0.859	0.845	0.866	0.419	0.872	0.532	0.876	942	5	69	8	8	24	8	56	48	0.8869	0.0721	0.8313	0.8182	0.8101	0.8452	0.9401	0.7849	0.875
52365730	0.882	0.665	0.306	0.913	0.793	0.44	0.958	0.483	0.622	0.106	0.878	491	5	102	6	3	40	5	20	41	0.5955	0.0721	0.9303	0.7564	0.4192	0.9565	0.7748	0.3885	0.8369
52365731	0.877	0.744	0.477	0.902	0.839	0.539	0.949	0.454	0.623	0.112	0.884	515	6	95	6	4	39	5	22	40	0.6167	0.1111	0.9137	0.7564	0.5038	0.9522	0.7748	0.4176	0.8311
52365732	0.884	0.731	0.781	0.93	0.876	0.478	0.94	0.603	0.72	0.127	0.901	563	6	114	6	1	35	5	25	42	0.6574	0.1111	0.9513	0.7564	0.1397	0.9328	0.7748	0.4586	0.8427
52365733	0.895	0.861	0.827	0.93	0.891	0.528	0.933	0.724	0.718	0.155	0.82	629	9	101	8	4	32	5	29	40	0.7103	0.2906	0.9279	0.8182	0.5038	0.9143	0.7748	0.5096	0.8311
52365734	0.901	0.917	0.908	0.892	0.91	0.639	0.926	0.775	0.879	0.371	0.897	868	10	89	9	5	36	7	44	49	0.8553	0.3667	0.8977	0.8479	0.5899	0.9379	0.8903	0.6743	0.88
52365735	0.901	0.888	0.866	0.866	0.908	0.793	0.931	0.778	0.899	0.501	0.96	911	9	92	9	6	37	8	49	59	0.8745	0.2906	0.9058	0.8479	0.6718	0.943	0.9401	0.723	0.9262
52365736	0.919	0.82	0.839	0.887	0.899	0.794	0.953	0.881	0.881	0.571	0.97	892	10	101	9	6	43	7	52	65	0.8662	0.3667	0.9279	0.8479	0.6718	0.9675	0.8903	0.7503	0.951
52365737	0.788	0.807	0.71	0.808	0.901	0.801	0.854	0.517	0.883	0.727	0.984	919	10	92	10	8	30	7	64	72	0.8779	0.3667	0.9058	0.8785	0.8101	0.9002	0.8903	0.8484	0.9766
52365738	0.835	0.886	0.573	0.815	0.864	0.824	0.9	0.57	0.922	0.575	0.984	905	7	85	7	7	31	8	55	67	0.8719	0.1602	0.8862	0.7878	0.7463	0.9075	0.9401	0.7763	0.9587
52365739	0.813	0.866	0.608	0.781	0.859	0.861	0.877	0.461	0.892	0.565	0.904	877	4	72	7	7	28	8	58	54	0.8596	0.0439	0.8426	0.7878	0.7463	0.8841	0.9401	0.8013	0.9036
52365740	0.888	0.668	0.386	0.902	0.807	0.383	0.963	0.488	0.648	0.113	0.916	492	6	99	7	3	40	5	21	45	0.5964	0.1111	0.9234	0.7878	0.4192	0.9565	0.7748	0.4033	0.8591
52365741	0.873	0.758	0.524	0.885	0.831	0.481	0.95	0.376	0.564	0.099	0.84	455	5	86	6	4	34	4	21	39	0.5616	0.0721	0.8892	0.7564	0.5038	0.9272	0.7031	0.4033	0.8254
52365742	0.939	0.905	0.926	0.931	0.931	0.413	0.958	0.886	0.862	0.251	0.926	937	11	118	10	2	37	7	37	49	0.8849	0.4453	0.9568	0.8785	0.2845	0.943	0.8903	0.602	0.88
52365743	0.873	0.857	0.857	0.89	0.908	0.455	0.924	0.537	0.729	0.164	0.825	640	6	76	8	3	25	5	30	40	0.7187	0.1111	0.8568	0.8182	0.4192	0.8559	0.7748	0.5219	0.8311
52365744	0.853	0.878	0.858	0.856	0.911	0.573	0.902	0.547	0.859	0.307	0.844	738	8	78	8	3	24	7	41	47	0.7848	0.2216	0.8636	0.8182	0.4192	0.8452	0.8903	0.6439	0.8698
52365745	0.903	0.947	0.907	0.829	0.916	0.809	0.917	0.792	0.914	0.563	0.934	961	10	76	8	6	27	8	54	55	0.8943	0.3667	0.8568	0.8182	0.6718	0.8754	0.9401	0.7675	0.9081
52365746	0.881	0.906	0.821	0.816	0.906	0.749	0.924	0.67	0.869	0.484	0.929	900	8	72	9	6	32	8	46	56	0.8699	0.2216	0.8426	0.8479	0.6718	0.9143	0.9401	0.6944	0.9128
52365747	0.901	0.845	0.837	0.873	0.905	0.668	0.949	0.819	0.906	0.553	0.979	929	10	101	9	7	43	7	52	68	0.8819	0.3667	0.9279	0.8479	0.7463	0.9675	0.8903	0.7503	0.9624
52365748	0.871	0.795	0.607	0.861	0.861	0.773	0.937	0.702	0.917	0.525	0.982	784	5	95	7	7	39	7	51	71	0.8119	0.0721	0.9137	0.7878	0.7463	0.9522	0.8903	0.7411	0.9734
52365749	0.868	0.78	0.573	0.847	0.858	0.865	0.93	0.698	0.924	0.502	0.963	786	5	93	7	8	41	8	52	67	0.813	0.0721	0.9085	0.7878	0.8101	0.9602	0.9401	0.7503	0.9587
52365750	0.868	0.717	0.442	0.873	0.814	0.348	0.954	0.352	0.615	0.087	0.871	417	5	80	6	3	34	5	19	42	0.5247	0.0721	0.8704	0.7564	0.4192	0.9272	0.7748	0.3734	0.8427
52365751	0.905	0.837	0.653	0.884	0.89	0.482	0.96	0.656	0.679	0.151	0.903	572	7	84	7	4	37	5	28	48	0.6646	0.1602	0.8831	0.7878	0.5038	0.943	0.7748	0.4974	0.875
52365752	0.949	0.945	0.929	0.909	0.942	0.493	0.962	0.905	0.9	0.338	0.956	952	11	100	10	3	29	7	41	61	0.8908	0.4453	0.9256	0.8785	0.4192	0.8925	0.8903	0.6439	0.9346
52365753	0.883	0.881	0.9	0.876	0.924	0.412	0.925	0.658	0.816	0.253	0.906	758	7	78	9	3	24	7	38	53	0.7968	0.1602	0.8636	0.8479	0.4192	0.8452	0.8903	0.6127	0.899
52365754	0.848	0.896	0.859	0.834	0.911	0.493	0.905	0.514	0.834	0.283	0.871	751	8	71	8	3	21	7	41	44	0.7928	0.2216	0.8389	0.8182	0.4192	0.8092	0.8903	0.6439	0.8537
52365755	0.883	0.925	0.847	0.82	0.921	0.67	0.922	0.622	0.886	0.39	0.937	865	10	70	9	5	26	8	45	55	0.8539	0.3667	0.8352	0.8479	0.5899	0.8662	0.9401	0.6845	0.9081
52365756	0.858	0.909	0.822	0.806	0.908	0.767	0.899	0.544	0.89	0.392	0.943	881	10	73	9	6	26	7	44	51	0.8615	0.3667	0.8462	0.8479	0.6718	0.8662	0.8903	0.6743	0.8898
52365757	0.83	0.887	0.733	0.782	0.907	0.779	0.885	0.522	0.9	0.542	0.936	898	8	69	9	7	26	8	54	55	0.869	0.2216	0.8313	0.8479	0.7463	0.8662	0.9401	0.7675	0.9081
52365758	0.883	0.845	0.821	0.882	0.882	0.656	0.937	0.764	0.903	0.509	0.979	980	9	104	8	6	41	8	49	65	0.9014	0.2906	0.9344	0.8182	0.6718	0.9602	0.9401	0.723	0.951
52365759	0.807	0.825	0.583	0.819	0.856	0.739	0.895	0.476	0.915	0.446	0.967	881	4	82	8	7	33	8	48	63	0.8615	0.0439	0.8767	0.8182	0.7463	0.921	0.9401	0.7139	0.9429
52365760	0.86	0.741	0.496	0.864	0.849	0.418	0.947	0.296	0.568	0.081	0.818	366	6	77	5	4	30	4	18	38	0.4712	0.1111	0.8602	0.7201	0.5038	0.9002	0.7031	0.3582	0.8195
52365761	0.913	0.875	0.762	0.879	0.906	0.53	0.958	0.718	0.761	0.211	0.888	641	7	81	8	5	36	5	36	44	0.7195	0.1602	0.8736	0.8182	0.5899	0.9379	0.7748	0.591	0.8537
52365762	0.896	0.903	0.901	0.877	0.925	0.56	0.925	0.698	0.842	0.281	0.886	723	8	86	9	2	22	7	40	46	0.7758	0.2216	0.8892	0.8479	0.2845	0.8221	0.8903	0.6336	0.8646
52365763	0.882	0.912	0.857	0.861	0.928	0.482	0.927	0.64	0.836	0.272	0.87	762	7	77	10	4	22	7	39	45	0.799	0.1602	0.8602	0.8785	0.5038	0.8221	0.8903	0.6233	0.8591
52365764	0.85	0.893	0.846	0.829	0.91	0.469	0.91	0.495	0.808	0.263	0.853	705	7	73	8	3	18	6	41	41	0.7643	0.1602	0.8462	0.8182	0.4192	0.7662	0.8358	0.6439	0.8369
52365765	0.881	0.924	0.82	0.82	0.926	0.751	0.915	0.655	0.884	0.433	0.949	806	8	71	9	5	23	7	46	58	0.8239	0.2216	0.8389	0.8479	0.5899	0.8342	0.8903	0.6944	0.9217
52365766	0.857	0.899	0.836	0.791	0.915	0.842	0.882	0.542	0.886	0.42	0.965	841	9	65	8	6	19	8	43	58	0.8423	0.2906	0.8149	0.8182	0.6718	0.7814	0.9401	0.6642	0.9217
52365767	0.799	0.871	0.687	0.765	0.904	0.841	0.848	0.415	0.901	0.483	0.937	842	7	65	8	6	17	8	48	56	0.8429	0.1602	0.8149	0.8182	0.6718	0.7503	0.9401	0.7139	0.9128
52365768	0.75	0.766	0.515	0.763	0.881	0.804	0.839	0.315	0.902	0.529	0.96	726	4	73	7	6	17	8	53	70	0.7776	0.0439	0.8462	0.7878	0.6718	0.7503	0.9401	0.7589	0.9698
52365769	0.755	0.842	0.531	0.773	0.856	0.73	0.846	0.289	0.896	0.404	0.924	794	3	67	7	8	23	8	44	57	0.8175	0.024	0.8232	0.7878	0.8101	0.8342	0.9401	0.6743	0.9172
52365770	0.871	0.744	0.488	0.867	0.875	0.37	0.953	0.372	0.645	0.094	0.89	416	5	79	6	3	31	5	19	42	0.5236	0.0721	0.867	0.7564	0.4192	0.9075	0.7748	0.3734	0.8427
52365771	0.917	0.896	0.794	0.87	0.921	0.499	0.958	0.714	0.802	0.25	0.895	686	6	79	9	3	32	6	38	45	0.7517	0.1111	0.867	0.8479	0.4192	0.9143	0.8358	0.6127	0.8591
52365772	0.883	0.889	0.853	0.868	0.921	0.448	0.931	0.57	0.827	0.246	0.874	689	7	82	9	2	22	7	38	44	0.7538	0.1602	0.8767	0.8479	0.2845	0.8221	0.8903	0.6127	0.8537
52365773	0.886	0.907	0.883	0.848	0.925	0.43	0.928	0.646	0.836	0.292	0.875	771	7	77	10	3	23	7	40	46	0.8045	0.1602	0.8602	0.8785	0.4192	0.8342	0.8903	0.6336	0.8646
52365774	0.852	0.9	0.824	0.829	0.918	0.47	0.912	0.507	0.807	0.265	0.872	713	7	72	8	2	19	6	41	42	0.7696	0.1602	0.8426	0.8182	0.2845	0.7814	0.8358	0.6439	0.8427
52365775	0.879	0.898	0.854	0.818	0.917	0.58	0.926	0.564	0.851	0.331	0.945	779	7	69	8	5	24	7	43	54	0.8091	0.1602	0.8313	0.8182	0.5899	0.8452	0.8903	0.6642	0.9036
52365776	0.864	0.906	0.859	0.79	0.924	0.743	0.897	0.563	0.887	0.398	0.97	853	10	67	9	5	24	7	45	62	0.8481	0.3667	0.8232	0.8479	0.5899	0.8452	0.8903	0.6845	0.9388
52365777	0.786	0.861	0.637	0.756	0.914	0.872	0.83	0.369	0.913	0.521	0.952	841	3	64	8	6	17	8	51	63	0.8423	0.024	0.8106	0.8182	0.6718	0.7503	0.9401	0.7411	0.9429
52365778	0.69	0.697	0.539	0.798	0.888	0.792	0.773	0.306	0.911	0.723	0.985	807	4	90	8	7	20	7	67	72	0.8244	0.0439	0.9004	0.8182	0.7463	0.7956	0.8903	0.8695	0.9766
52365779	0.772	0.81	0.557	0.772	0.883	0.78	0.859	0.362	0.909	0.533	0.923	887	4	71	7	8	22	8	58	59	0.8641	0.0439	0.8389	0.7878	0.8101	0.8221	0.9401	0.8013	0.9262
52365780	0.88	0.747	0.512	0.866	0.885	0.368	0.956	0.419	0.694	0.103	0.911	446	5	77	6	3	33	5	21	44	0.5529	0.0721	0.8602	0.7564	0.4192	0.921	0.7748	0.4033	0.8537
52365781	0.916	0.903	0.809	0.869	0.926	0.472	0.955	0.664	0.831	0.233	0.906	688	6	81	10	3	26	6	38	50	0.7531	0.1111	0.8736	0.8785	0.4192	0.8662	0.8358	0.6127	0.885
52365782	0.883	0.9	0.854	0.853	0.934	0.413	0.931	0.551	0.833	0.265	0.884	687	8	76	10	3	21	7	40	43	0.7525	0.2216	0.8568	0.8785	0.4192	0.8092	0.8903	0.6336	0.8482
52365783	0.883	0.915	0.88	0.852	0.931	0.52	0.923	0.698	0.876	0.39	0.961	848	7	80	9	3	20	7	45	59	0.8457	0.1602	0.8704	0.8479	0.4192	0.7956	0.8903	0.6845	0.9262
52365784	0.876	0.926	0.868	0.833	0.924	0.482	0.919	0.616	0.845	0.291	0.858	734	7	72	9	2	19	7	42	44	0.7824	0.1602	0.8426	0.8479	0.2845	0.7814	0.8903	0.654	0.8537
52365785	0.889	0.905	0.902	0.817	0.923	0.567	0.925	0.637	0.865	0.34	0.924	747	8	70	9	3	24	7	43	53	0.7903	0.2216	0.8352	0.8479	0.4192	0.8452	0.8903	0.6642	0.899
52365786	0.881	0.9	0.851	0.796	0.925	0.756	0.914	0.608	0.86	0.443	0.944	796	8	70	9	5	25	7	48	55	0.8186	0.2216	0.8352	0.8479	0.5899	0.8559	0.8903	0.7139	0.9081
52365787	0.816	0.873	0.689	0.762	0.917	0.862	0.861	0.419	0.885	0.508	0.977	830	5	63	8	6	18	8	50	67	0.8368	0.0721	0.8064	0.8182	0.6718	0.7662	0.9401	0.7321	0.9587
52365788	0.639	0.587	0.522	0.788	0.883	0.712	0.751	0.186	0.93	0.745	0.999	670	4	85	7	7	15	8	68	78	0.7407	0.0439	0.8862	0.7878	0.7463	0.7163	0.9401	0.8758	0.9919
52365789	0.743	0.799	0.532	0.76	0.885	0.784	0.83	0.366	0.93	0.672	0.975	940	4	75	8	8	24	8	65	72	0.8862	0.0439	0.8532	0.8182	0.8101	0.8452	0.9401	0.8556	0.9766
52365790	0.877	0.757	0.568	0.831	0.858	0.545	0.952	0.349	0.637	0.095	0.873	386	6	62	5	5	24	4	19	43	0.4925	0.1111	0.8021	0.7201	0.5899	0.8452	0.7031	0.3734	0.8482
52365791	0.94	0.936	0.872	0.876	0.926	0.537	0.963	0.821	0.865	0.298	0.93	817	7	91	10	3	30	7	41	59	0.83	0.1602	0.9032	0.8785	0.4192	0.9002	0.8903	0.6439	0.9262
52365792	0.872	0.883	0.826	0.836	0.934	0.454	0.928	0.517	0.815	0.273	0.903	619	7	72	9	2	21	6	39	49	0.7026	0.1602	0.8426	0.8479	0.2845	0.8092	0.8358	0.6233	0.88
52365793	0.876	0.884	0.871	0.838	0.929	0.38	0.929	0.537	0.779	0.196	0.854	656	6	68	9	2	21	6	35	43	0.7307	0.1111	0.8271	0.8479	0.2845	0.8092	0.8358	0.5798	0.8482
52365794	0.893	0.938	0.909	0.831	0.935	0.507	0.92	0.71	0.871	0.311	0.884	773	7	71	9	2	20	7	42	46	0.8057	0.1602	0.8389	0.8479	0.2845	0.7956	0.8903	0.654	0.8646
52365795	0.906	0.945	0.898	0.82	0.939	0.619	0.928	0.663	0.908	0.395	0.949	859	10	72	9	4	23	8	45	56	0.8512	0.3667	0.8426	0.8479	0.5038	0.8342	0.9401	0.6845	0.9128
52365796	0.886	0.905	0.802	0.8	0.926	0.737	0.923	0.589	0.883	0.429	0.949	779	6	70	9	5	26	8	46	58	0.8091	0.1111	0.8352	0.8479	0.5899	0.8662	0.9401	0.6944	0.9217
52365797	0.852	0.892	0.706	0.775	0.923	0.85	0.895	0.519	0.886	0.499	0.964	837	6	62	9	7	28	8	50	65	0.8403	0.1111	0.8021	0.8479	0.7463	0.8841	0.9401	0.7321	0.951
52365798	0.708	0.722	0.525	0.775	0.881	0.725	0.814	0.276	0.891	0.657	0.973	790	7	87	8	8	20	8	61	71	0.8152	0.1602	0.8919	0.8182	0.8101	0.7956	0.9401	0.8256	0.9734
52365799	0.761	0.873	0.53	0.759	0.867	0.656	0.858	0.273	0.896	0.478	0.914	901	5	69	9	7	23	8	49	49	0.8703	0.0721	0.8313	0.8479	0.7463	0.8342	0.9401	0.723	0.88
52366607	0.911	0.702	0.668	0.933	0.866	0.668	0.962	0.817	0.769	0.227	0.968	709	8	128	8	7	49	5	34	49	0.767	0.2216	0.9683	0.8182	0.7463	0.9841	0.7748	0.5684	0.88
52366608	0.897	0.82	0.685	0.861	0.872	0.659	0.954	0.577	0.704	0.155	0.935	625	7	87	8	6	37	5	29	48	0.7073	0.1602	0.8919	0.8182	0.6718	0.943	0.7748	0.5096	0.875
52366609	0.86	0.728	0.512	0.817	0.823	0.572	0.947	0.312	0.6	0.092	0.882	388	7	67	5	6	30	4	20	38	0.4946	0.1602	0.8232	0.7201	0.6718	0.9002	0.7031	0.3885	0.8195
52366618	0.871	0.729	0.589	0.888	0.87	0.596	0.948	0.616	0.838	0.165	0.971	661	7	101	8	7	42	6	31	55	0.7343	0.1602	0.9279	0.8182	0.7463	0.9641	0.8358	0.5339	0.9081
52366619	0.878	0.745	0.482	0.839	0.843	0.591	0.954	0.45	0.637	0.096	0.887	456	7	76	5	6	33	5	18	38	0.5626	0.1602	0.8568	0.7201	0.6718	0.921	0.7748	0.3582	0.8195
52366628	0.914	0.544	0.558	0.947	0.879	0.578	0.966	0.846	0.812	0.246	0.989	653	9	131	8	6	49	6	34	61	0.7285	0.2906	0.9713	0.8182	0.6718	0.9841	0.8358	0.5684	0.9346
52366629	0.912	0.72	0.598	0.914	0.866	0.571	0.967	0.771	0.777	0.146	0.961	615	9	111	8	6	45	5	28	53	0.6995	0.2906	0.9467	0.8182	0.6718	0.9737	0.7748	0.4974	0.899
52366659	0.802	0.578	0.422	0.845	0.82	0.692	0.916	0.251	0.704	0.081	0.905	430	6	80	5	6	30	5	16	42	0.5374	0.1111	0.8704	0.7201	0.6718	0.9002	0.7748	0.3256	0.8427
52366669	0.798	0.533	0.464	0.846	0.826	0.728	0.911	0.265	0.782	0.091	0.94	455	4	82	7	6	30	6	19	48	0.5616	0.0439	0.8767	0.7878	0.6718	0.9002	0.8358	0.3734	0.875
52366679	0.815	0.637	0.526	0.805	0.8	0.783	0.916	0.261	0.681	0.092	0.767	425	6	72	6	6	25	5	15	31	0.5326	0.1111	0.8426	0.7564	0.6718	0.8559	0.7748	0.3088	0.7748
