mesh3	保全優先度全国ランク_全分類群	保全優先度全国ランク_植物	保全優先度全国ランク_哺乳類	保全優先度全国ランク_鳥類	保全優先度全国ランク_爬虫類	保全優先度全国ランク_両生類	保全優先度全国ランク_淡水魚類	保全優先度県内ランク_全分類群	保全優先度全国ランク_セミ類	保全優先度全国ランク_チョウ類	保全優先度全国ランク_トンボ類	種数_植物	種数_哺乳類	種数_鳥類	種数_爬虫類	種数_両生類	種数_淡水魚類	種数_セミ類	種数_チョウ類	種数_トンボ類	種数ランク_植物	種数ランク_哺乳類	種数ランク_鳥類	種数ランク_爬虫類	種数ランク_両生類	種数ランク_淡水魚類	種数ランク_セミ類	種数ランク_チョウ類	種数ランク_トンボ類
52366700	0.884	0.755	0.591	0.828	0.824	0.593	0.956	0.393	0.596	0.096	0.875	402	7	65	5	6	29	4	20	39	0.5093	0.1602	0.8149	0.7201	0.6718	0.8925	0.7031	0.3885	0.8254
52366701	0.917	0.889	0.804	0.851	0.907	0.525	0.958	0.702	0.844	0.284	0.926	741	9	83	9	3	32	7	40	57	0.7866	0.2906	0.8799	0.8479	0.4192	0.9143	0.8903	0.6336	0.9172
52366702	0.869	0.861	0.795	0.815	0.903	0.424	0.936	0.446	0.783	0.231	0.904	663	8	70	9	3	27	5	38	49	0.7357	0.2216	0.8352	0.8479	0.4192	0.8754	0.7748	0.6127	0.88
52366703	0.872	0.89	0.803	0.822	0.919	0.418	0.934	0.499	0.793	0.232	0.882	696	10	69	9	2	26	6	38	45	0.7585	0.3667	0.8313	0.8479	0.2845	0.8662	0.8358	0.6127	0.8591
52366704	0.882	0.915	0.871	0.831	0.923	0.395	0.931	0.583	0.847	0.311	0.902	777	10	72	10	2	25	7	41	45	0.8079	0.3667	0.8426	0.8785	0.2845	0.8559	0.8903	0.6439	0.8591
52366705	0.906	0.926	0.835	0.825	0.929	0.529	0.944	0.598	0.882	0.354	0.954	885	9	75	10	4	26	7	43	53	0.8632	0.2906	0.8532	0.8785	0.5038	0.8662	0.8903	0.6642	0.899
52366706	0.876	0.897	0.75	0.785	0.924	0.672	0.924	0.5	0.88	0.431	0.942	825	6	66	9	4	26	7	46	52	0.8344	0.1111	0.819	0.8479	0.5038	0.8662	0.8903	0.6944	0.8945
52366707	0.861	0.855	0.654	0.817	0.918	0.788	0.916	0.614	0.919	0.541	0.984	886	7	83	9	8	31	8	53	70	0.8636	0.1602	0.8799	0.8479	0.8101	0.9075	0.9401	0.7589	0.9698
52366708	0.734	0.718	0.589	0.806	0.871	0.832	0.819	0.322	0.911	0.671	0.992	782	6	88	8	8	21	8	61	75	0.8108	0.1111	0.8949	0.8182	0.8101	0.8092	0.9401	0.8256	0.9851
52366709	0.799	0.876	0.536	0.763	0.86	0.672	0.892	0.316	0.887	0.441	0.911	875	5	70	8	7	25	8	45	51	0.8587	0.0721	0.8352	0.8182	0.7463	0.8559	0.9401	0.6845	0.8898
52366710	0.878	0.734	0.52	0.83	0.823	0.638	0.953	0.363	0.619	0.09	0.879	400	7	68	5	6	28	5	18	39	0.5072	0.1602	0.8271	0.7201	0.6718	0.8841	0.7748	0.3582	0.8254
52366711	0.934	0.905	0.821	0.863	0.903	0.718	0.962	0.841	0.897	0.359	0.979	809	9	95	10	6	34	7	44	68	0.8256	0.2906	0.9137	0.8785	0.6718	0.9272	0.8903	0.6743	0.9624
52366712	0.899	0.82	0.747	0.841	0.903	0.625	0.953	0.643	0.844	0.322	0.963	672	9	88	9	4	31	6	43	60	0.7421	0.2906	0.8949	0.8479	0.5038	0.9075	0.8358	0.6642	0.9306
52366713	0.897	0.887	0.701	0.831	0.909	0.471	0.954	0.511	0.815	0.244	0.892	682	8	77	9	2	31	6	35	47	0.7489	0.2216	0.8602	0.8479	0.2845	0.9075	0.8358	0.5798	0.8698
52366714	0.894	0.904	0.743	0.831	0.917	0.418	0.95	0.515	0.86	0.265	0.887	721	10	77	10	2	28	7	41	49	0.7746	0.3667	0.8602	0.8785	0.2845	0.8841	0.8903	0.6439	0.88
52366715	0.899	0.911	0.81	0.829	0.916	0.428	0.948	0.52	0.888	0.305	0.888	800	10	76	10	2	24	7	42	49	0.8208	0.3667	0.8568	0.8785	0.2845	0.8452	0.8903	0.654	0.88
52366716	0.872	0.907	0.755	0.789	0.919	0.554	0.929	0.411	0.88	0.402	0.91	875	7	69	9	4	24	7	45	49	0.8587	0.1602	0.8313	0.8479	0.5038	0.8452	0.8903	0.6845	0.88
52366717	0.82	0.858	0.626	0.763	0.902	0.763	0.891	0.413	0.938	0.585	0.979	918	8	76	9	6	23	8	55	71	0.8775	0.2216	0.8568	0.8479	0.6718	0.8342	0.9401	0.7763	0.9734
52366718	0.807	0.831	0.496	0.759	0.884	0.851	0.882	0.409	0.935	0.62	0.929	892	6	77	8	8	24	8	57	61	0.8662	0.1111	0.8602	0.8182	0.8101	0.8452	0.9401	0.7932	0.9346
52366719	0.835	0.886	0.574	0.78	0.865	0.756	0.911	0.464	0.912	0.468	0.899	893	5	77	9	8	27	8	47	48	0.8667	0.0721	0.8602	0.8479	0.8101	0.8754	0.9401	0.7041	0.875
52366720	0.876	0.756	0.523	0.834	0.835	0.554	0.954	0.438	0.693	0.109	0.877	457	7	76	5	6	33	5	23	41	0.5637	0.1602	0.8568	0.7201	0.6718	0.921	0.7748	0.4313	0.8369
52366721	0.937	0.885	0.783	0.882	0.899	0.714	0.969	0.891	0.865	0.271	0.993	789	8	97	10	6	40	7	37	70	0.8146	0.2216	0.9188	0.8785	0.6718	0.9565	0.8903	0.602	0.9698
52366722	0.933	0.864	0.844	0.862	0.9	0.746	0.963	0.854	0.874	0.317	0.996	759	8	95	9	5	36	6	38	63	0.7974	0.2216	0.9137	0.8479	0.5899	0.9379	0.8358	0.6127	0.9429
52366723	0.946	0.953	0.796	0.861	0.925	0.594	0.968	0.829	0.855	0.365	0.922	933	9	88	10	4	33	6	43	52	0.8834	0.2906	0.8949	0.8785	0.5038	0.921	0.8358	0.6642	0.8945
52366724	0.933	0.92	0.712	0.839	0.92	0.628	0.966	0.745	0.883	0.357	0.953	761	7	83	9	4	34	8	45	59	0.7985	0.1602	0.8799	0.8479	0.5038	0.9272	0.9401	0.6845	0.9262
52366725	0.922	0.891	0.817	0.829	0.909	0.453	0.961	0.599	0.866	0.275	0.925	774	8	78	9	3	30	7	41	54	0.8062	0.2216	0.8636	0.8479	0.4192	0.9002	0.8903	0.6439	0.9036
52366726	0.916	0.88	0.822	0.823	0.92	0.451	0.958	0.607	0.907	0.365	0.987	874	9	78	10	2	31	8	45	67	0.8582	0.2906	0.8636	0.8785	0.2845	0.9075	0.9401	0.6845	0.9587
52366727	0.942	0.87	0.72	0.889	0.918	0.636	0.972	0.884	0.922	0.654	0.985	1032	10	114	10	4	46	8	58	68	0.9183	0.3667	0.9513	0.8785	0.5038	0.9766	0.9401	0.8013	0.9624
52366728	0.906	0.906	0.678	0.826	0.896	0.863	0.944	0.759	0.94	0.631	0.972	1032	8	95	9	8	39	8	59	67	0.9183	0.2216	0.9137	0.8479	0.8101	0.9522	0.9401	0.8094	0.9587
52366729	0.895	0.889	0.659	0.797	0.855	0.816	0.944	0.689	0.926	0.497	0.945	950	7	85	8	7	39	8	49	62	0.89	0.1602	0.8862	0.8182	0.7463	0.9522	0.9401	0.723	0.9388
52366730	0.85	0.729	0.481	0.833	0.851	0.582	0.942	0.332	0.689	0.101	0.888	469	7	76	6	6	36	5	21	43	0.5752	0.1602	0.8568	0.7564	0.6718	0.9379	0.7748	0.4033	0.8482
52366731	0.887	0.792	0.526	0.823	0.847	0.641	0.956	0.485	0.726	0.119	0.873	492	8	73	6	6	32	5	23	44	0.5964	0.2216	0.8462	0.7564	0.6718	0.9143	0.7748	0.4313	0.8537
52366732	0.919	0.803	0.529	0.829	0.861	0.728	0.968	0.636	0.774	0.129	0.912	512	7	75	5	6	34	6	26	48	0.6141	0.1602	0.8532	0.7201	0.6718	0.9272	0.8358	0.4719	0.875
52366733	0.917	0.842	0.469	0.826	0.878	0.524	0.971	0.628	0.811	0.172	0.93	590	7	76	7	5	35	6	32	53	0.6796	0.1602	0.8568	0.7878	0.5899	0.9328	0.8358	0.5455	0.899
52366734	0.925	0.877	0.513	0.824	0.892	0.524	0.972	0.668	0.833	0.225	0.93	680	7	75	8	4	37	7	36	55	0.7475	0.1602	0.8532	0.8182	0.5038	0.943	0.8903	0.591	0.9081
52366735	0.925	0.851	0.501	0.845	0.914	0.62	0.969	0.775	0.94	0.529	0.991	843	8	97	10	5	35	8	55	73	0.8434	0.2216	0.9188	0.8785	0.5899	0.9328	0.9401	0.7763	0.9796
52366736	0.931	0.859	0.652	0.869	0.915	0.567	0.97	0.74	0.911	0.472	0.978	892	9	106	9	4	36	7	50	67	0.8662	0.2906	0.9382	0.8479	0.5038	0.9379	0.8903	0.7321	0.9587
52366737	0.909	0.893	0.566	0.798	0.866	0.78	0.953	0.616	0.892	0.499	0.9	848	7	80	8	5	32	8	50	53	0.8457	0.1602	0.8704	0.8182	0.5899	0.9143	0.9401	0.7321	0.899
52366738	0.919	0.866	0.663	0.833	0.869	0.872	0.956	0.757	0.923	0.52	0.964	930	8	93	8	7	37	8	50	64	0.8823	0.2216	0.9085	0.8182	0.7463	0.943	0.9401	0.7321	0.947
52366739	0.912	0.799	0.713	0.85	0.853	0.772	0.96	0.804	0.934	0.519	0.971	886	9	98	9	8	43	8	51	64	0.8636	0.2906	0.921	0.8479	0.8101	0.9675	0.9401	0.7411	0.947
52366740	0.921	0.718	0.681	0.929	0.899	0.549	0.969	0.874	0.826	0.27	0.969	760	11	124	8	7	49	6	34	59	0.7979	0.4453	0.9641	0.8182	0.7463	0.9841	0.8358	0.5684	0.9262
52366741	0.911	0.848	0.578	0.853	0.867	0.643	0.964	0.712	0.774	0.153	0.903	606	7	87	6	6	37	6	30	48	0.6924	0.1602	0.8919	0.7564	0.6718	0.943	0.8358	0.5219	0.875
52366742	0.882	0.77	0.474	0.818	0.846	0.669	0.954	0.405	0.749	0.108	0.929	468	7	68	6	6	30	5	21	50	0.5742	0.1602	0.8271	0.7564	0.6718	0.9002	0.7748	0.4033	0.885
52366743	0.906	0.845	0.554	0.83	0.877	0.54	0.964	0.616	0.81	0.187	0.909	613	8	80	8	5	34	6	33	52	0.698	0.2216	0.8704	0.8182	0.5899	0.9272	0.8358	0.5571	0.8945
52366744	0.919	0.844	0.463	0.85	0.901	0.469	0.971	0.718	0.871	0.218	0.97	731	8	84	8	4	39	6	34	64	0.7806	0.2216	0.8831	0.8182	0.5038	0.9522	0.8358	0.5684	0.947
52366745	0.927	0.817	0.617	0.852	0.896	0.47	0.975	0.758	0.868	0.38	0.972	795	9	93	9	3	41	6	48	67	0.818	0.2906	0.9085	0.8479	0.4192	0.9602	0.8358	0.7139	0.9587
52366746	0.922	0.89	0.691	0.801	0.893	0.684	0.962	0.678	0.84	0.373	0.917	823	8	74	8	6	32	7	47	60	0.8333	0.2216	0.8498	0.8182	0.6718	0.9143	0.8903	0.7041	0.9306
52366747	0.912	0.892	0.574	0.792	0.843	0.834	0.953	0.694	0.883	0.509	0.908	848	8	81	7	7	33	8	52	58	0.8457	0.2216	0.8736	0.7878	0.7463	0.921	0.9401	0.7503	0.9217
52366748	0.886	0.89	0.552	0.781	0.827	0.875	0.936	0.528	0.894	0.49	0.905	908	7	80	9	8	29	8	47	52	0.8732	0.1602	0.8704	0.8479	0.8101	0.8925	0.9401	0.7041	0.8945
52366749	0.89	0.89	0.528	0.781	0.824	0.911	0.937	0.631	0.921	0.603	0.88	930	7	84	8	9	32	8	57	61	0.8823	0.1602	0.8831	0.8182	0.8638	0.9143	0.9401	0.7932	0.9346
52366750	0.918	0.847	0.733	0.913	0.923	0.711	0.959	0.89	0.856	0.339	0.997	844	11	121	9	8	44	6	40	66	0.8438	0.4453	0.9606	0.8479	0.8101	0.9707	0.8358	0.6336	0.9549
52366751	0.913	0.649	0.625	0.917	0.877	0.5	0.97	0.814	0.877	0.307	0.994	706	11	118	9	7	46	6	35	64	0.765	0.4453	0.9568	0.8479	0.7463	0.9766	0.8358	0.5798	0.947
52366752	0.908	0.77	0.556	0.857	0.879	0.605	0.967	0.723	0.828	0.181	0.965	628	7	93	9	6	41	6	32	55	0.7096	0.1602	0.9085	0.8479	0.6718	0.9602	0.8358	0.5455	0.9081
52366753	0.943	0.732	0.69	0.928	0.908	0.549	0.98	0.914	0.847	0.329	0.981	758	11	123	9	6	50	6	39	64	0.7968	0.4453	0.963	0.8479	0.6718	0.9862	0.8358	0.6233	0.947
52366754	0.948	0.744	0.64	0.93	0.912	0.451	0.984	0.915	0.856	0.353	0.98	800	11	124	9	6	49	6	40	68	0.8208	0.4453	0.9641	0.8479	0.6718	0.9841	0.8358	0.6336	0.9624
52366755	0.939	0.793	0.611	0.887	0.893	0.554	0.98	0.864	0.828	0.314	0.948	743	10	102	9	5	48	6	37	62	0.7878	0.3667	0.9303	0.8479	0.5899	0.9818	0.8358	0.602	0.9388
52366756	0.932	0.778	0.608	0.883	0.886	0.706	0.974	0.81	0.869	0.344	0.968	732	8	104	9	6	44	6	42	65	0.7812	0.2216	0.9344	0.8479	0.6718	0.9707	0.8358	0.654	0.951
52366757	0.964	0.94	0.704	0.911	0.888	0.873	0.979	0.951	0.93	0.71	0.978	1121	10	127	9	8	45	8	61	73	0.9424	0.3667	0.9672	0.8479	0.8101	0.9737	0.9401	0.8256	0.9796
52366758	0.851	0.864	0.461	0.78	0.817	0.892	0.915	0.492	0.934	0.657	0.979	939	6	86	8	7	26	8	62	74	0.8858	0.1111	0.8892	0.8182	0.7463	0.8662	0.9401	0.8334	0.9825
52366759	0.83	0.826	0.564	0.852	0.811	0.874	0.894	0.592	0.974	0.849	0.999	1047	9	109	9	9	29	8	79	85	0.9228	0.2906	0.9433	0.8479	0.8638	0.8925	0.9401	0.9344	0.9991
52366760	0.811	0.625	0.412	0.812	0.832	0.71	0.921	0.221	0.683	0.084	0.853	401	7	66	5	6	26	5	15	37	0.5083	0.1602	0.819	0.7201	0.6718	0.8662	0.7748	0.3088	0.8136
52366761	0.884	0.757	0.54	0.886	0.844	0.7	0.949	0.604	0.763	0.145	0.886	569	8	99	8	6	37	5	30	44	0.6622	0.2216	0.9234	0.8182	0.6718	0.943	0.7748	0.5219	0.8537
52366762	0.899	0.564	0.591	0.91	0.852	0.504	0.966	0.752	0.856	0.297	0.991	670	11	119	8	6	45	6	35	62	0.7407	0.4453	0.9581	0.8182	0.6718	0.9737	0.8358	0.5798	0.9388
52366763	0.894	0.65	0.564	0.869	0.863	0.534	0.965	0.71	0.814	0.182	0.97	626	9	92	8	6	42	6	29	58	0.7081	0.2906	0.9058	0.8182	0.6718	0.9641	0.8358	0.5096	0.9217
52366764	0.916	0.789	0.49	0.854	0.866	0.689	0.967	0.72	0.822	0.157	0.917	608	8	87	6	6	39	6	30	54	0.6942	0.2216	0.8919	0.7564	0.6718	0.9522	0.8358	0.5219	0.9036
52366768	0.956	0.93	0.795	0.947	0.925	0.827	0.968	0.986	0.967	0.92	1	1329	13	144	14	11	50	8	78	83	0.9778	0.5867	0.9818	0.9787	0.9419	0.9862	0.9401	0.93	0.9981
52366769	0.808	0.787	0.62	0.894	0.813	0.805	0.878	0.6	0.962	0.905	0.999	1083	9	118	11	9	29	8	80	83	0.933	0.2906	0.9568	0.9088	0.8638	0.8925	0.9401	0.9386	0.9981
52366771	0.846	0.641	0.528	0.856	0.807	0.697	0.937	0.437	0.772	0.124	0.887	514	7	83	7	7	34	6	26	48	0.6157	0.1602	0.8799	0.7878	0.7463	0.9272	0.8358	0.4719	0.875
52366772	0.879	0.654	0.572	0.875	0.816	0.596	0.956	0.587	0.802	0.165	0.969	585	8	93	8	7	38	6	29	51	0.6754	0.2216	0.9085	0.8182	0.7463	0.9478	0.8358	0.5096	0.8898
52366773	0.886	0.846	0.57	0.822	0.855	0.763	0.946	0.572	0.827	0.163	0.925	643	8	78	7	7	32	6	30	48	0.721	0.2216	0.8636	0.7878	0.7463	0.9143	0.8358	0.5219	0.875
52366779	0.968	0.944	0.788	0.95	0.922	0.887	0.977	0.995	0.974	0.944	0.998	1407	13	149	14	10	54	9	81	84	0.9854	0.5867	0.9849	0.9787	0.9087	0.9926	0.9795	0.9425	0.9987
52366782	0.869	0.639	0.57	0.864	0.836	0.759	0.945	0.561	0.805	0.138	0.918	564	9	94	8	6	34	6	26	49	0.6582	0.2906	0.9111	0.8182	0.6718	0.9272	0.8358	0.4719	0.88
52366783	0.867	0.784	0.458	0.802	0.855	0.729	0.944	0.453	0.75	0.175	0.878	596	8	71	9	7	33	5	32	46	0.6843	0.2216	0.8389	0.8479	0.7463	0.921	0.7748	0.5455	0.8646
52366789	0.973	0.889	0.697	0.944	0.879	0.851	0.988	0.982	0.942	0.784	0.967	1138	9	144	11	8	55	8	61	68	0.9463	0.2906	0.9818	0.9088	0.8101	0.9939	0.9401	0.8256	0.9624
52374090	0.814	0.804	0.6	0.841	0.902	0.946	0.854	0.602	0.909	0.584	0.99	969	7	95	10	7	31	8	58	72	0.8974	0.1602	0.9137	0.8785	0.7463	0.9075	0.9401	0.8013	0.9766
52375000	0.764	0.705	0.496	0.758	0.852	0.92	0.846	0.308	0.879	0.548	0.962	795	6	76	7	8	25	7	59	71	0.818	0.1111	0.8568	0.7878	0.8101	0.8559	0.8903	0.8094	0.9734
52375010	0.826	0.818	0.57	0.783	0.876	0.951	0.879	0.501	0.888	0.59	0.913	916	6	78	8	7	32	8	64	64	0.8766	0.1111	0.8636	0.8182	0.7463	0.9143	0.9401	0.8484	0.947
52375011	0.781	0.77	0.568	0.759	0.84	0.951	0.841	0.377	0.887	0.425	0.884	903	6	79	7	7	22	8	50	60	0.8712	0.1111	0.867	0.7878	0.7463	0.8221	0.9401	0.7321	0.9306
52375020	0.789	0.733	0.51	0.769	0.853	0.92	0.864	0.392	0.889	0.6	0.958	822	6	82	7	8	26	8	63	66	0.8328	0.1111	0.8767	0.7878	0.8101	0.8662	0.9401	0.8408	0.9549
52375021	0.818	0.83	0.652	0.758	0.848	0.969	0.858	0.436	0.899	0.528	0.876	909	6	73	7	8	25	8	55	56	0.8736	0.1111	0.8462	0.7878	0.8101	0.8559	0.9401	0.7763	0.9128
52375030	0.805	0.769	0.523	0.766	0.854	0.924	0.873	0.435	0.899	0.612	0.962	844	6	76	7	8	29	8	64	63	0.8438	0.1111	0.8568	0.7878	0.8101	0.8925	0.9401	0.8484	0.9429
52375040	0.834	0.792	0.563	0.791	0.861	0.933	0.897	0.53	0.912	0.492	0.968	832	5	79	7	9	32	8	51	68	0.8379	0.0721	0.867	0.7878	0.8638	0.9143	0.9401	0.7411	0.9624
52375060	0.745	0.749	0.41	0.753	0.839	0.844	0.843	0.264	0.823	0.453	0.916	749	4	67	7	6	20	8	54	56	0.7916	0.0439	0.8232	0.7878	0.6718	0.7956	0.9401	0.7675	0.9128
52375070	0.809	0.664	0.599	0.839	0.859	0.892	0.888	0.564	0.902	0.657	0.983	869	7	102	8	8	31	7	64	73	0.8558	0.1602	0.9303	0.8182	0.8101	0.9075	0.8903	0.8484	0.9796
52375071	0.844	0.809	0.576	0.803	0.835	0.923	0.904	0.57	0.949	0.549	0.961	888	6	81	7	8	31	8	57	65	0.8645	0.1111	0.8736	0.7878	0.8101	0.9075	0.9401	0.7932	0.951
52375080	0.853	0.867	0.608	0.799	0.841	0.846	0.917	0.563	0.931	0.448	0.977	876	5	78	7	8	34	8	46	65	0.8591	0.0721	0.8636	0.7878	0.8101	0.9272	0.9401	0.6944	0.951
52375081	0.843	0.891	0.647	0.764	0.821	0.904	0.898	0.52	0.941	0.577	0.911	994	4	75	6	9	29	8	56	59	0.906	0.0439	0.8532	0.7564	0.8638	0.8925	0.9401	0.7849	0.9262
52375090	0.88	0.873	0.578	0.781	0.82	0.891	0.933	0.596	0.898	0.462	0.887	773	5	73	6	8	30	8	45	53	0.8057	0.0721	0.8462	0.7564	0.8101	0.9002	0.9401	0.6845	0.899
52375091	0.818	0.757	0.549	0.772	0.784	0.9	0.899	0.449	0.949	0.683	0.977	838	7	88	6	7	31	8	64	68	0.8408	0.1602	0.8949	0.7564	0.7463	0.9075	0.9401	0.8484	0.9624
52376000	0.891	0.908	0.625	0.791	0.817	0.855	0.94	0.631	0.915	0.474	0.917	838	4	79	6	7	34	8	45	55	0.8408	0.0439	0.867	0.7564	0.7463	0.9272	0.9401	0.6845	0.9081
52376001	0.855	0.798	0.55	0.767	0.792	0.926	0.919	0.536	0.939	0.541	0.969	751	7	78	5	8	32	8	54	68	0.7928	0.1602	0.8636	0.7201	0.8101	0.9143	0.9401	0.7675	0.9624
52376010	0.882	0.913	0.566	0.79	0.82	0.814	0.937	0.572	0.937	0.503	0.899	878	5	81	7	7	31	8	49	50	0.8601	0.0721	0.8736	0.7878	0.7463	0.9075	0.9401	0.723	0.885
52376011	0.894	0.904	0.577	0.779	0.809	0.888	0.94	0.625	0.924	0.515	0.865	861	4	76	6	8	32	8	51	52	0.8522	0.0439	0.8568	0.7564	0.8101	0.9143	0.9401	0.7411	0.8945
52376020	0.864	0.833	0.616	0.778	0.822	0.841	0.926	0.584	0.939	0.635	0.957	864	6	86	8	9	31	8	57	70	0.8535	0.1111	0.8892	0.8182	0.8638	0.9075	0.9401	0.7932	0.9698
52376021	0.913	0.922	0.598	0.786	0.824	0.954	0.945	0.771	0.956	0.569	0.897	957	5	83	8	8	34	8	52	61	0.8927	0.0721	0.8799	0.8182	0.8101	0.9272	0.9401	0.7503	0.9346
52376030	0.911	0.886	0.663	0.823	0.832	0.808	0.953	0.763	0.919	0.492	0.886	927	5	93	7	9	43	8	49	51	0.8811	0.0721	0.9085	0.7878	0.8638	0.9675	0.9401	0.723	0.8898
52376031	0.899	0.905	0.529	0.768	0.796	0.933	0.941	0.674	0.928	0.563	0.865	919	4	78	6	8	33	8	54	48	0.8779	0.0439	0.8636	0.7564	0.8101	0.921	0.9401	0.7675	0.875
52376040	0.926	0.872	0.642	0.888	0.858	0.836	0.961	0.868	0.937	0.607	0.927	998	7	115	9	9	48	8	55	62	0.9075	0.1602	0.9527	0.8479	0.8638	0.9818	0.9401	0.7763	0.9388
52376060	0.76	0.766	0.548	0.838	0.792	0.819	0.845	0.406	0.946	0.904	0.996	1052	6	106	10	8	17	8	77	80	0.9243	0.1111	0.9382	0.8785	0.8101	0.7503	0.9401	0.9254	0.9952
52376070	0.787	0.807	0.571	0.814	0.794	0.834	0.866	0.451	0.94	0.89	0.972	1116	7	104	9	8	17	8	80	76	0.9412	0.1602	0.9344	0.8479	0.8101	0.7503	0.9401	0.9386	0.9876
52376080	0.959	0.947	0.825	0.931	0.893	0.847	0.969	0.962	0.97	0.842	0.992	1293	10	135	11	8	50	9	71	79	0.9733	0.3667	0.9749	0.9088	0.8101	0.9862	0.9795	0.8941	0.9937
52376081	0.939	0.913	0.538	0.805	0.81	0.958	0.961	0.833	0.956	0.805	0.982	1124	5	96	6	8	34	9	72	76	0.9431	0.0721	0.9163	0.7564	0.8101	0.9272	0.9795	0.8998	0.9876
52376082	0.955	0.804	0.582	0.864	0.802	0.916	0.979	0.857	0.967	0.912	0.999	1150	7	116	11	9	32	8	81	82	0.9489	0.1602	0.9541	0.9088	0.8638	0.9143	0.9401	0.9425	0.9974
52376091	0.971	0.957	0.63	0.856	0.83	0.973	0.98	0.947	0.94	0.705	0.91	1189	10	101	7	8	45	8	62	68	0.9569	0.3667	0.9279	0.7878	0.8101	0.9737	0.9401	0.8334	0.9624
52376092	0.968	0.916	0.585	0.826	0.8	0.973	0.982	0.882	0.91	0.699	0.905	1106	9	92	8	7	30	8	64	59	0.9388	0.2906	0.9058	0.8182	0.7463	0.9002	0.9401	0.8484	0.9262
52376093	0.963	0.889	0.573	0.866	0.845	0.946	0.981	0.933	0.96	0.901	0.997	1242	8	115	12	10	42	8	85	79	0.9661	0.2216	0.9527	0.9363	0.9087	0.9641	0.9401	0.9568	0.9937
52376094	0.926	0.735	0.479	0.824	0.753	0.83	0.969	0.734	0.936	0.897	0.994	976	6	102	8	8	32	8	80	77	0.9	0.1111	0.9303	0.8182	0.8101	0.9143	0.9401	0.9386	0.9899
52377002	0.99	0.959	0.688	0.928	0.851	0.955	0.996	0.983	0.959	0.816	0.963	1206	10	125	8	9	48	9	69	68	0.96	0.3667	0.9651	0.8182	0.8638	0.9818	0.9795	0.8822	0.9624
52377003	0.969	0.906	0.551	0.82	0.81	0.98	0.984	0.95	0.961	0.899	0.991	1251	10	102	10	9	40	8	84	80	0.9674	0.3667	0.9303	0.8785	0.8638	0.9565	0.9401	0.9534	0.9952
